exch,types,covermode,pricemode,category,precision,pricetick,volscale,exchg,session,holiday,name
CZC,RO,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.RO
CZC,TA,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.TA
CZC,WS,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.WS
CZC,PM,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.PM
CZC,PK,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.PK
CZC,SR,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.SR
CZC,MA,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.MA
CZC,ME,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.ME
CZC,SA,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.SA
CZC,WT,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.WT
CZC,CJ,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.CJ
CZC,JR,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.JR
CZC,LR,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.LR
CZC,ER,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.ER
CZC,UR,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.UR
CZC,SM,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.SM
CZC,FG,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.FG
CZC,RM,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.RM
CZC,ZC,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.ZC
CZC,CF,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.CF
CZC,PF,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.PF
CZC,TC,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.TC
CZC,WH,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.WH
CZC,RS,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.RS
CZC,RI,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.RI
CZC,AP,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.AP
CZC,SF,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.SF
CZC,CY,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.CY
CZC,OI,1,1,1,0,1.0,10,CZC,FN2300,CHINA,CZC.OI
