exch,contract,name,code,product,maxlimitqty,maxmarketqty,exchg
NYM,CL13N,NYMWTI原油1307,CL13N,CL,500,500,NYM
NYM,CL13Q,NYMWTI原油1308,CL13Q,CL,500,500,NYM
NYM,CL13U,NYMWTI原油1309,CL13U,CL,500,500,NYM
NYM,CL13V,NYMWTI原油1310,CL13V,CL,500,500,NYM
NYM,CL13X,NYMWTI原油1311,CL13X,CL,500,500,NYM
NYM,CL13Z,NYMWTI原油1312,CL13Z,CL,500,500,NYM
NYM,CL14F,NYMWTI原油1401,CL14F,CL,500,500,NYM
NYM,CL14G,NYMWTI原油1402,CL14G,CL,500,500,NYM
NYM,CL14H,NYMWTI原油1403,CL14H,CL,500,500,NYM
NYM,CL14J,NYMWTI原油1404,CL14J,CL,500,500,NYM
NYM,CL14K,NYMWTI原油1405,CL14K,CL,500,500,NYM
NYM,CL14M,NYMWTI原油1406,CL14M,CL,500,500,NYM
NYM,CL14N,NYMWTI原油1407,CL14N,CL,500,500,NYM
NYM,CL14Q,NYMWTI原油1408,CL14Q,CL,500,500,NYM
NYM,CL14U,NYMWTI原油1409,CL14U,CL,500,500,NYM
NYM,CL14V,NYMWTI原油1410,CL14V,CL,500,500,NYM
NYM,CL14X,NYMWTI原油1411,CL14X,CL,500,500,NYM
NYM,CL14Z,NYMWTI原油1412,CL14Z,CL,500,500,NYM
NYM,CL15F,NYMWTI原油1501,CL15F,CL,500,500,NYM
NYM,CL15G,NYMWTI原油1502,CL15G,CL,500,500,NYM
NYM,CL15H,NYMWTI原油1503,CL15H,CL,500,500,NYM
NYM,CL15J,NYMWTI原油1504,CL15J,CL,500,500,NYM
NYM,CL15K,NYMWTI原油1505,CL15K,CL,500,500,NYM
NYM,CL15M,NYMWTI原油1506,CL15M,CL,500,500,NYM
NYM,CL15N,NYMWTI原油1507,CL15N,CL,500,500,NYM
NYM,CL15Q,NYMWTI原油1508,CL15Q,CL,500,500,NYM
NYM,CL15U,NYMWTI原油1509,CL15U,CL,500,500,NYM
NYM,CL15V,NYMWTI原油1510,CL15V,CL,500,500,NYM
NYM,CL15X,NYMWTI原油1511,CL15X,CL,500,500,NYM
NYM,CL15Z,NYMWTI原油1512,CL15Z,CL,500,500,NYM
NYM,CL16F,NYMWTI原油1601,CL16F,CL,500,500,NYM
NYM,CL16G,NYMWTI原油1602,CL16G,CL,500,500,NYM
NYM,CL16H,NYMWTI原油1603,CL16H,CL,500,500,NYM
NYM,CL16J,NYMWTI原油1604,CL16J,CL,500,500,NYM
NYM,CL16K,NYMWTI原油1605,CL16K,CL,500,500,NYM
NYM,CL16M,NYMWTI原油1606,CL16M,CL,500,500,NYM
NYM,CL16N,NYMWTI原油1607,CL16N,CL,500,500,NYM
NYM,CL16Q,NYMWTI原油1608,CL16Q,CL,500,500,NYM
NYM,CL16U,NYMWTI原油1609,CL16U,CL,500,500,NYM
