types,open,close,closetoday,byvolume
SHF.PB,4e-05,4e-05,0.0,False
SHF.FU,2.3e-05,2.3e-05,0.000345,False
SHF.SP,5e-05,5e-05,0.0,False
SHF.NI,3.01,3.01,3.01,True
SHF.BU,0.0001,0.0001,0.0001,False
SHF.CU,0.0001,0.0001,0.0001,False
SHF.ZN,0.0001,0.0001,0.0001,False
SHF.RB,0.0001,0.0001,0.0001,False
SHF.WR,2.3e-05,2.3e-05,0.000345,False
SHF.AL,3.0,3.0,3.0,True
SHF.HC,5e-05,5e-05,0.0,False
SHF.RU,4.5e-05,4.5e-05,4.5e-05,False
SHF.AU,10.0,10.0,0.0,True
SHF.AG,5e-05,5e-05,5e-05,False
SHF.SN,5e-05,5e-05,5e-05,False
SHF.SS,5e-05,5e-05,5e-05,False
SGE.IAU,5e-05,5e-05,5e-05,False
SGE.PT,5e-05,5e-05,5e-05,False
SGE.AGTD,5e-05,5e-05,5e-05,False
SGE.AUTD,5e-05,5e-05,5e-05,False
SGE.AU,5e-05,5e-05,5e-05,False
SGE.AG,5e-05,5e-05,5e-05,False
SGE.NYAUTN,5e-05,5e-05,5e-05,False
CZC.CY,5e-05,5e-05,5e-05,False
CZC.RM,1.51,1.51,1.51,True
CZC.SM,5e-05,5e-05,5e-05,False
CZC.CJ,5e-05,5e-05,5e-05,False
CZC.TC,5e-05,5e-05,5e-05,False
CZC.RO,5e-05,5e-05,5e-05,False
CZC.SR,3.01,3.01,0.0,True
CZC.MA,3.01,3.01,0.0,True
CZC.PM,3.01,3.01,0.0,True
CZC.ME,3.01,3.01,0.0,True
CZC.SF,3.01,3.01,0.0,True
CZC.CF,3.01,3.01,0.0,True
CZC.RI,3.01,3.01,0.0,True
CZC.WS,3.01,3.01,0.0,True
CZC.SA,3.01,3.01,0.0,True
CZC.WT,3.01,3.01,0.0,True
CZC.PF,3.01,3.01,0.0,True
CZC.OI,3.01,3.01,0.0,True
CZC.PK,3.01,3.01,0.0,True
CZC.LR,3.01,3.01,0.0,True
CZC.TA,3.01,3.01,0.0,True
CZC.FG,3.01,3.01,0.0,True
CZC.WH,3.01,3.01,0.0,True
CZC.ER,3.01,3.01,0.0,True
CZC.ZC,3.01,3.01,0.0,True
CZC.AP,3.01,3.01,0.0,True
CZC.JR,3.01,3.01,0.0,True
CZC.RS,3.01,3.01,0.0,True
CZC.UR,3.01,3.01,0.0,True
CFE.IH,3.01,3.01,0.0,True
CFE.TS,3.01,3.01,0.0,True
CFE.TF,3.01,3.01,0.0,True
CFE.IF,3.01,3.01,0.0,True
CFE.IC,3.01,3.01,0.0,True
CFE.T,3.01,3.01,0.0,True
INE.SC,3.01,3.01,0.0,True
INE.BC,3.01,3.01,0.0,True
INE.NR,3.01,3.01,0.0,True
INE.LU,3.01,3.01,0.0,True
DCE.C,3.01,3.01,0.0,True
DCE.FB,3.01,3.01,0.0,True
DCE.CS,3.01,3.01,0.0,True
DCE.V,3.01,3.01,0.0,True
DCE.LH,3.01,3.01,0.0,True
DCE.PG,3.01,3.01,0.0,True
DCE.M,3.01,3.01,0.0,True
DCE.B,3.01,3.01,0.0,True
DCE.JM,3.01,3.01,0.0,True
DCE.PP,3.01,3.01,0.0,True
DCE.J,3.01,3.01,0.0,True
DCE.A,3.01,3.01,0.0,True
DCE.P,3.01,3.01,0.0,True
DCE.RR,3.01,3.01,0.0,True
DCE.I,3.01,3.01,0.0,True
DCE.BB,3.01,3.01,0.0,True
DCE.JD,3.01,3.01,0.0,True
DCE.EG,3.01,3.01,0.0,True
DCE.Y,3.01,3.01,0.0,True
DCE.EB,3.01,3.01,0.0,True
DCE.L,3.01,3.01,0.0,True
NYM.CL,3.01,3.01,0.0,True
