exch,contract,area,code,indust,name,product,exchg
BSE,430047,北京市,430047,0,诺思兰德,STK,BSE
BSE,430090,北京市,430090,0,同辉信息,STK,BSE
BSE,430198,武汉市,430198,0,微创光电,STK,BSE
BSE,430418,苏州市,430418,0,苏轴股份,STK,BSE
BSE,430489,蚌埠市,430489,0,佳先股份,STK,BSE
BSE,430510,青岛市,430510,0,丰光精密,STK,BSE
BSE,430564,西安市,430564,0,天润科技,STK,BSE
BSE,830799,上海市,830799,0,艾融软件,STK,BSE
BSE,830832,淄博市,830832,0,齐鲁华信,STK,BSE
BSE,830839,日照市,830839,0,万通液压,STK,BSE
BSE,830946,泰州市,830946,0,森萱医药,STK,BSE
BSE,830964,唐山市,830964,0,润农节水,STK,BSE
BSE,831010,银川市,831010,0,凯添燃气,STK,BSE
BSE,831039,广州市,831039,0,国义招标,STK,BSE
BSE,831167,深圳市,831167,0,鑫汇科,STK,BSE
BSE,831278,青岛市,831278,0,泰德股份,STK,BSE
BSE,831305,上海市,831305,0,海希通讯,STK,BSE
BSE,831370,重庆市,831370,0,新安洁,STK,BSE
BSE,831445,南平市,831445,0,龙竹科技,STK,BSE
BSE,831689,威海市,831689,0,克莱特,STK,BSE
BSE,831726,长春市,831726,0,朱老六,STK,BSE
BSE,831768,珠海市,831768,0,拾比佰,STK,BSE
BSE,831832,太原市,831832,0,科达自控,STK,BSE
BSE,831856,滁州市,831856,0,浩淼科技,STK,BSE
BSE,831961,上海市,831961,0,创远仪器,STK,BSE
BSE,832000,蚌埠市,832000,0,安徽凤凰,STK,BSE
BSE,832089,苏州市,832089,0,禾昌聚合,STK,BSE
BSE,832145,北京市,832145,0,恒合股份,STK,BSE
BSE,832171,廊坊市,832171,0,志晟信息,STK,BSE
BSE,832225,漯河市,832225,0,利通科技,STK,BSE
BSE,832278,南通市,832278,0,鹿得医疗,STK,BSE
BSE,832317,北京市,832317,0,观典防务,STK,BSE
BSE,832419,潍坊市,832419,0,路斯股份,STK,BSE
BSE,832491,广州市,832491,0,奥迪威,STK,BSE
BSE,832566,内江市,832566,0,梓橦宫,STK,BSE
BSE,832735,连云港市,832735,0,德源药业,STK,BSE
BSE,832885,桂林市,832885,0,星辰科技,STK,BSE
BSE,833266,昆明市,833266,0,生物谷,STK,BSE
BSE,833346,上海市,833346,0,威贸电子,STK,BSE
BSE,833427,南昌市,833427,0,华维设计,STK,BSE
BSE,833454,许昌市,833454,0,同心传动,STK,BSE
BSE,833509,常州市,833509,0,同惠电子,STK,BSE
BSE,833523,惠州市,833523,0,德瑞锂电,STK,BSE
BSE,833533,苏州市,833533,0,骏创科技,STK,BSE
BSE,833580,洛阳市,833580,0,科创新材,STK,BSE
BSE,833819,北京市,833819,0,颖泰生物,STK,BSE
BSE,833873,重庆市,833873,0,中设咨询,STK,BSE
BSE,833874,十堰市,833874,0,泰祥股份,STK,BSE
BSE,833943,成都市,833943,0,优机股份,STK,BSE
BSE,833994,合肥市,833994,0,翰博高新,STK,BSE
BSE,834021,北京市,834021,0,流金岁月,STK,BSE
BSE,834415,北京市,834415,0,恒拓开源,STK,BSE
BSE,834475,台州市,834475,0,三友科技,STK,BSE
BSE,834599,西安市,834599,0,同力股份,STK,BSE
BSE,834639,嘉兴市,834639,0,晨光电缆,STK,BSE
BSE,834682,宁波市,834682,0,球冠电缆,STK,BSE
BSE,834765,深圳市,834765,0,美之高,STK,BSE
BSE,835174,长沙市,835174,0,五新隧装,STK,BSE
BSE,835179,北京市,835179,0,凯德石英,STK,BSE
BSE,835184,北京市,835184,0,国源科技,STK,BSE
BSE,835185,深圳市,835185,0,贝特瑞,STK,BSE
BSE,835305,南京市,835305,0,云创数据,STK,BSE
BSE,835368,大连市,835368,0,连城数控,STK,BSE
BSE,835508,北京市,835508,0,殷图网联,STK,BSE
BSE,835640,西安市,835640,0,富士达,STK,BSE
BSE,835670,济南市,835670,0,数字人,STK,BSE
BSE,836077,吉林市,836077,0,吉林碳谷,STK,BSE
BSE,836149,苏州市,836149,0,旭杰科技,STK,BSE
BSE,836239,绵阳市,836239,0,长虹能源,STK,BSE
BSE,836260,成都市,836260,0,中寰股份,STK,BSE
BSE,836263,北京市,836263,0,中航泰达,STK,BSE
BSE,836433,呼和浩特市,836433,0,大唐药业,STK,BSE
BSE,836675,攀枝花市,836675,0,秉扬科技,STK,BSE
BSE,836720,无锡市,836720,0,吉冈精密,STK,BSE
BSE,836826,大连市,836826,0,盖世食品,STK,BSE
BSE,836892,广州市,836892,0,广咨国际,STK,BSE
BSE,837092,烟台市,837092,0,汉鑫科技,STK,BSE
BSE,837212,潍坊市,837212,0,智新电子,STK,BSE
BSE,837242,青岛市,837242,0,建邦科技,STK,BSE
BSE,837344,北京市,837344,0,三元基因,STK,BSE
BSE,837821,深圳市,837821,0,则成电子,STK,BSE
BSE,838030,怀化市,838030,0,德众汽车,STK,BSE
BSE,838163,石家庄市,838163,0,方大股份,STK,BSE
BSE,838171,威海市,838171,0,邦德股份,STK,BSE
BSE,838275,广州市,838275,0,驱动力,STK,BSE
BSE,838670,十堰市,838670,0,恒进感应,STK,BSE
BSE,838924,杭州市,838924,0,广脉科技,STK,BSE
BSE,839167,苏州市,839167,0,同享科技,STK,BSE
BSE,839680,深圳市,839680,0,广道高新,STK,BSE
BSE,839729,广州市,839729,0,永顺生物,STK,BSE
BSE,839946,十堰市,839946,0,华阳变速,STK,BSE
BSE,870204,南京市,870204,0,沪江材料,STK,BSE
BSE,870299,南京市,870299,0,灿能电力,STK,BSE
BSE,870436,南通市,870436,0,大地电气,STK,BSE
BSE,871245,淮安市,871245,0,威博液压,STK,BSE
BSE,871396,常州市,871396,0,常辅股份,STK,BSE
BSE,871553,北京市,871553,0,凯腾精工,STK,BSE
BSE,871642,南通市,871642,0,通易航天,STK,BSE
BSE,871857,重庆市,871857,0,泓禧科技,STK,BSE
BSE,871970,运城市,871970,0,大禹生物,STK,BSE
BSE,871981,铜陵市,871981,0,晶赛科技,STK,BSE
BSE,872925,惠州市,872925,0,锦好医疗,STK,BSE
BSE,873169,嘉兴市,873169,0,七丰精工,STK,BSE
BSE,873223,嘉兴市,873223,0,荣亿精密,STK,BSE
SSE,600000,上海市,600000,银行,浦发银行,STK,SSE
SSE,600001,邯郸市,600001,0,邯郸钢铁(退市),STK,SSE
SSE,600002,淄博市,600002,0,齐鲁石化(退市),STK,SSE
SSE,600003,长春市,600003,0,ST东北高(退市),STK,SSE
SSE,600004,广州市,600004,交通运输,白云机场,STK,SSE
SSE,600005,武汉市,600005,0,武钢股份(退市),STK,SSE
SSE,600006,襄阳市,600006,汽车,东风汽车,STK,SSE
SSE,600007,北京市,600007,房地产,中国国贸,STK,SSE
SSE,600008,北京市,600008,公用事业,首创股份,STK,SSE
SSE,600009,上海市,600009,交通运输,上海机场,STK,SSE
SSE,600010,包头市,600010,钢铁,包钢股份,STK,SSE
SSE,600011,北京市,600011,公用事业,华能国际,STK,SSE
